K	N
2961	70
2962	52
2963	61
2964	57
2965	58
2966	56
2967	74
2968	54
2969	49
2970	63
2971	55
2972	55
2973	50
2974	45
2975	53
2976	53
2977	46
2978	49
2979	51
2980	66
2981	64
2982	57
2983	54
2984	52
2985	43
2986	57
2987	49
2988	62
2989	56
2990	67
2991	58
2992	54
2993	58
2994	52
2995	54
2996	63
2997	58
2998	52
2999	62
3000	50
3001	48
3002	48
3003	53
3004	43
3005	61
3006	66
3007	48
3008	50
3009	49
3010	55
3011	55
3012	67
3013	59
3014	40
3015	58
3016	59
3017	49
3018	45
3019	50
3020	64
3021	53
3022	46
3023	62
3024	62
3025	59
3026	47
3027	58
3028	57
3029	60
3030	71
3031	47
3032	61
3033	32
3034	46
3035	53
3036	49
3037	50
3038	54
3039	66
3040	71
3041	57
3042	66
3043	55
3044	71
3045	56
3046	52
3047	51
3048	45
3049	55
3050	59
3051	47
3052	76
3053	60
3054	61
3055	53
3056	52
3057	51
3058	61
3059	65
3060	60
3061	44
3062	49
3063	51
3064	70
3065	49
3066	45
3067	49
3068	58
3069	60
3070	65
3071	60
3072	56
3073	61
3074	39
3075	58
3076	58
3077	49
3078	56
3079	69
3080	52
3081	57
3082	60
3083	62
3084	51
3085	50
3086	47
3087	64
3088	55
3089	48
3090	50
3091	62
3092	59
3093	54
3094	75
3095	56
3096	52
3097	53
3098	56
3099	60
3100	58
3101	47
3102	44
3103	46
3104	45
3105	69
3106	42
3107	64
3108	64
3109	41
3110	65
3111	55
3112	67
3113	57
3114	42
3115	46
3116	67
3117	58
3118	57
3119	67
3120	62
3121	55
3122	62
3123	41
3124	47
3125	74
3126	50
3127	45
3128	61
3129	60
3130	54
3131	68
3132	58
3133	52
3134	52
3135	44
3136	59
3137	61
3138	57
3139	42
3140	48
3141	57
3142	41
3143	45
3144	54
3145	48
3146	48
3147	43
3148	54
3149	43
3150	39
3151	55
3152	55
3153	48
3154	62
3155	62
3156	49
3157	47
3158	55
3159	63
3160	61
3161	52
3162	58
3163	54
3164	49
3165	53
3166	52
3167	56
3168	56
3169	50
3170	54
3171	53
3172	56
3173	61
3174	47
3175	50
3176	53
3177	42
3178	47
3179	53
3180	56
3181	59
3182	55
3183	51
3184	42
3185	55
3186	66
3187	59
3188	51
3189	63
3190	42
3191	55
3192	54
3193	54
3194	53
3195	58
3196	57
3197	45
3198	40
3199	60
3200	57
3201	54
3202	43
3203	63
3204	56
3205	44
3206	44
3207	73
3208	42
3209	58
3210	46
3211	40
3212	56
3213	65
3214	47
3215	47
3216	50
3217	45
3218	58
3219	56
3220	42
3221	49
3222	44
3223	52
3224	35
3225	46
3226	56
3227	57
3228	54
3229	59
3230	53
3231	48
3232	48
3233	50
3234	37
3235	41
3236	48
3237	51
3238	56
3239	47
3240	51
3241	56
3242	49
3243	55
3244	50
3245	55
3246	67
3247	35
3248	56
3249	53
3250	58
3251	57
3252	39
3253	44
3254	54
3255	41
3256	35
3257	52
3258	66
3259	55
3260	51
3261	55
3262	54
3263	49
3264	56
3265	48
3266	51
3267	44
3268	47
3269	45
3270	38
3271	52
3272	51
3273	45
3274	51
3275	54
3276	34
3277	55
3278	44
3279	57
3280	52
3281	57
3282	37
3283	46
3284	49
3285	44
3286	51
3287	53
3288	45
3289	49
3290	44
3291	49
3292	49
3293	36
3294	46
3295	45
3296	45
3297	48
3298	38
3299	39
3300	37
3301	37
3302	54
3303	49
3304	42
3305	53
3306	60
3307	39
3308	42
3309	53
3310	44
3311	47
3312	40
3313	43
3314	40
3315	44
3316	40
3317	49
3318	42
3319	50
3320	45
3321	50
3322	40
3323	48
3324	52
3325	36
3326	50
3327	42
3328	41
3329	41
3330	54
3331	41
3332	53
3333	38
3334	51
3335	42
3336	39
3337	44
3338	51
3339	46
3340	53
3341	46
3342	51
3343	36
3344	57
3345	53
3346	42
3347	41
3348	55
3349	51
3350	52
3351	44
3352	33
3353	45
3354	47
3355	38
3356	38
3357	47
3358	31
3359	49
3360	42
3361	40
3362	37
3363	44
3364	52
3365	48
3366	44
3367	48
3368	51
3369	40
3370	46
3371	36
3372	39
3373	38
3374	35
3375	38
3376	37
3377	42
3378	36
3379	41
3380	50
3381	39
3382	30
3383	44
3384	39
3385	37
3386	50
3387	39
3388	45
3389	43
3390	41
3391	43
3392	44
3393	53
3394	40
3395	55
3396	53
3397	43
3398	44
3399	52
3400	45
3401	47
3402	46
3403	36
3404	29
3405	53
3406	50
3407	44
3408	45
3409	48
3410	41
3411	47
3412	38
3413	43
3414	40
3415	43
3416	42
3417	40
3418	40
3419	52
3420	50
3421	28
3422	42
3423	39
3424	60
3425	41
3426	38
3427	31
3428	43
3429	54
3430	38
3431	68
3432	43
3433	38
3434	40
3435	37
3436	51
3437	43
3438	37
3439	40
3440	51
3441	37
3442	51
3443	56
3444	43
3445	46
3446	37
3447	38
3448	40
3449	42
3450	48
3451	37
3452	30
3453	45
3454	43
3455	43
3456	42
3457	42
3458	44
3459	51
3460	42
3461	58
3462	38
3463	44
3464	42
3465	36
3466	32
3467	43
3468	39
3469	43
3470	52
3471	42
3472	40
3473	53
3474	30
3475	47
3476	35
3477	37
3478	34
3479	38
3480	36
3481	48
3482	38
3483	50
3484	46
3485	46
3486	44
3487	46
3488	50
3489	38
3490	41
3491	39
3492	44
3493	56
3494	36
3495	40
3496	41
3497	39
3498	48
3499	48
3500	29
3501	48
3502	47
3503	54
3504	48
3505	40
3506	44
3507	63
3508	44
3509	37
3510	52
3511	45
3512	28
3513	35
3514	50
3515	48
3516	35
3517	48
3518	42
3519	45
3520	46
3521	60
3522	50
3523	38
3524	48
3525	34
3526	42
3527	45
3528	49
3529	41
3530	32
3531	42
3532	37
3533	47
3534	41
3535	47
3536	42
3537	41
3538	37
3539	55
3540	45
3541	51
3542	45
3543	50
3544	40
3545	54
3546	35
3547	48
3548	38
3549	47
3550	37
3551	37
3552	49
3553	47
3554	31
3555	57
3556	52
3557	44
3558	41
3559	56
3560	45
3561	43
3562	38
3563	48
3564	38
3565	53
3566	43
3567	37
3568	52
3569	36
3570	49
3571	36
3572	42
3573	41
3574	46
3575	51
3576	44
3577	43
3578	47
3579	44
3580	56
3581	40
3582	50
3583	49
3584	45
3585	51
3586	55
3587	34
3588	57
3589	46
3590	41
3591	49
3592	48
3593	43
3594	54
3595	43
3596	46
3597	57
3598	56
3599	32
3600	47
3601	42
3602	46
3603	48
3604	48
3605	55
3606	29
3607	62
3608	48
3609	53
3610	59
3611	50
3612	53
3613	53
3614	52
3615	46
3616	36
3617	58
3618	60
3619	42
3620	31
3621	47
3622	53
3623	54
3624	45
3625	52
3626	48
3627	43
3628	48
3629	59
3630	45
3631	46
3632	52
3633	44
3634	56
3635	55
3636	46
3637	44
3638	40
3639	44
3640	45
3641	43
3642	56
3643	50
3644	39
3645	37
3646	44
3647	36
3648	54
3649	53
3650	55
3651	51
3652	63
3653	60
3654	56
3655	58
3656	61
3657	44
3658	42
3659	46
3660	49
3661	57
3662	34
3663	58
3664	33
3665	44
3666	55
3667	40
3668	43
3669	51
3670	55
3671	54
3672	44
3673	52
3674	36
3675	47
3676	53
3677	49
3678	47
3679	43
3680	48
3681	42
3682	41
3683	37
3684	53
3685	43
3686	45
3687	45
3688	34
3689	48
3690	47
3691	56
3692	53
3693	57
3694	32
3695	55
3696	47
3697	47
3698	55
3699	45
3700	36
3701	60
3702	45
3703	65
3704	45
3705	48
3706	50
3707	57
3708	51
3709	42
3710	54
3711	46
3712	52
3713	48
3714	40
3715	52
3716	43
3717	52
3718	67
3719	36
3720	57
3721	54
3722	59
3723	47
3724	45
3725	45
3726	42
3727	56
3728	47
3729	58
3730	45
3731	55
3732	50
3733	52
3734	46
3735	50
3736	46
3737	55
3738	52
3739	49
3740	54
3741	41
3742	52
3743	42
3744	42
3745	40
3746	55
3747	37
3748	46
3749	50
3750	49
3751	38
3752	38
3753	56
3754	41
3755	44
3756	39
3757	41
3758	34
3759	44
3760	44
3761	66
3762	48
3763	42
3764	47
3765	47
3766	52
3767	45
3768	49
3769	51
3770	40
3771	38
3772	53
3773	44
3774	33
3775	45
3776	47
3777	38
3778	55
3779	57
3780	68
3781	42
3782	49
3783	47
3784	40
3785	49
3786	50
3787	50
3788	36
3789	49
3790	35
3791	61
3792	48
3793	38
3794	53
3795	48
3796	39
3797	34
3798	41
3799	44
3800	39
3801	56
3802	44
3803	49
3804	49
3805	46
3806	48
3807	36
3808	53
3809	52
3810	45
3811	45
3812	49
3813	53
3814	52
3815	52
3816	50
3817	42
3818	48
3819	40
3820	44
3821	46
3822	56
3823	46
3824	45
3825	50
3826	37
3827	48
3828	39
3829	58
3830	49
3831	40
3832	52
3833	50
3834	54
3835	52
3836	43
3837	59
3838	45
3839	40
3840	47
3841	47
3842	51
3843	45
3844	46
3845	48
3846	36
3847	45
3848	46
3849	43
3850	43
3851	52
3852	46
3853	44
3854	45
3855	54
3856	46
3857	43
3858	46
3859	36
3860	48
3861	37
3862	45
3863	51
3864	42
3865	58
3866	42
3867	46
3868	36
3869	41
3870	64
3871	51
3872	47
3873	33
3874	40
3875	45
3876	57
3877	45
3878	35
3879	43
3880	32
3881	39
3882	47
3883	37
3884	64
3885	44
3886	47
3887	47
3888	47
3889	33
3890	41
3891	46
3892	47
3893	52
3894	49
3895	34
3896	48
3897	49
3898	32
3899	34
3900	39
3901	54
3902	41
3903	65
3904	44
3905	32
3906	44
3907	39
3908	42
3909	59
3910	46
3911	54
3912	51
3913	33
3914	44
3915	41
3916	35
3917	47
3918	39
3919	46
3920	43
3921	47
3922	42
3923	39
3924	43
3925	43
3926	43
3927	44
3928	44
3929	57
3930	41
3931	42
3932	46
3933	36
3934	43
3935	39
3936	46
3937	33
3938	46
3939	50
3940	41
3941	45
3942	43
3943	48
3944	38
3945	38
3946	37
3947	46
3948	51
3949	48
3950	48
3951	47
3952	31
3953	58
3954	37
3955	45
3956	53
3957	49
3958	49
3959	36
3960	53
3961	55
3962	50
3963	39
3964	52
3965	49
3966	60
3967	33
3968	54
3969	44
3970	56
3971	42
3972	38
3973	39
3974	40
3975	45
3976	48
3977	52
3978	38
3979	60
3980	64
3981	40
3982	53
3983	52
3984	39
3985	54
3986	47
3987	45
3988	50
3989	52
3990	54
3991	49
3992	53
3993	47
3994	47
3995	47
3996	60
3997	49
3998	42
3999	36
4000	42
4001	42
4002	41
4003	61
4004	48
4005	60
4006	59
4007	58
4008	41
4009	56
4010	53
4011	46
4012	65
4013	55
4014	51
4015	44
4016	53
4017	41
4018	68
4019	62
4020	56
4021	45
4022	64
4023	59
4024	50
4025	49
4026	47
4027	57
4028	58
4029	67
4030	49
4031	57
4032	66
4033	48
4034	78
4035	62
4036	64
4037	59
4038	54
4039	75
4040	62
4041	68
4042	53
4043	70
4044	67
4045	75
4046	68
4047	67
4048	75
4049	54
4050	71
4051	55
4052	77
4053	76
4054	63
4055	77
4056	65
4057	76
4058	64
4059	67
4060	72
4061	64
4062	85
4063	82
4064	62
4065	77
4066	58
4067	74
4068	68
4069	67
4070	77
4071	74
4072	78
4073	62
4074	83
4075	84
4076	79
4077	77
4078	69
4079	70
4080	75
4081	74
4082	66
4083	82
4084	62
4085	87
4086	81
4087	64
4088	73
4089	84
4090	75
4091	73
4092	84
4093	90
4094	78
4095	64
4096	70
4097	71
4098	77
4099	71
4100	74
4101	86
4102	84
4103	74
4104	85
4105	58
4106	91
4107	82
4108	70
4109	78
4110	67
4111	84
4112	91
4113	77
4114	97
4115	79
4116	76
4117	87
4118	70
4119	88
4120	82
4121	79
4122	88
4123	74
4124	75
4125	72
4126	95
4127	66
4128	90
4129	83
4130	94
4131	94
4132	71
4133	108
4134	93
4135	86
4136	102
4137	78
4138	69
4139	95
4140	65
4141	74
4142	76
4143	90
4144	72
4145	81
4146	92
4147	76
4148	97
4149	90
4150	73
4151	103
4152	73
4153	98
4154	81
4155	82
4156	100
4157	90
4158	83
4159	88
4160	77
4161	77
4162	98
4163	87
4164	86
4165	93
4166	101
4167	74
4168	91
4169	86
4170	76
4171	105
4172	76
4173	85
4174	98
4175	88
4176	92
4177	88
4178	90
4179	105
4180	91
4181	106
4182	96
4183	91
4184	106
4185	101
4186	78
4187	87
4188	71
4189	93
4190	96
4191	65
4192	93
4193	93
4194	93
4195	82
4196	100
4197	82
4198	90
4199	74
4200	82
4201	85
4202	80
4203	70
4204	101
4205	79
4206	99
4207	94
4208	97
4209	92
4210	94
4211	100
4212	65
4213	77
4214	88
4215	88
4216	90
4217	76
4218	90
4219	88
4220	86
4221	90
4222	89
4223	83
4224	82
4225	92
4226	74
4227	76
4228	93
4229	69
4230	75
4231	86
4232	75
4233	80
4234	90
4235	81
4236	72
4237	87
4238	98
4239	84
4240	72
4241	83
4242	87
4243	96
4244	92
4245	69
4246	89
4247	83
4248	78
4249	72
4250	78
4251	84
4252	82
4253	69
4254	73
4255	92
4256	71
4257	77
4258	66
4259	63
4260	109
4261	78
4262	95
4263	73
4264	58
4265	94
4266	77
4267	74
4268	77
4269	59
4270	71
4271	59
4272	79
4273	70
4274	72
4275	75
4276	77
4277	76
4278	69
4279	60
4280	66
4281	69
4282	69
4283	74
4284	90
4285	74
4286	64
4287	75
4288	81
4289	73
4290	79
4291	68
4292	78
4293	64
4294	64
4295	59
4296	46
4297	53
4298	58
4299	79
4300	72
4301	66
4302	77
4303	70
4304	72
4305	63
4306	77
4307	62
4308	61
4309	57
4310	64
4311	66
4312	67
4313	57
4314	52
4315	67
4316	51
4317	66
4318	68
4319	53
4320	55
4321	48
4322	54
4323	54
4324	62
4325	65
4326	61
4327	55
4328	55
4329	52
4330	55
4331	68
4332	65
4333	46
4334	51
4335	51
4336	55
4337	53
4338	43
4339	42
4340	38
4341	46
4342	41
4343	49
4344	56
4345	50
4346	53
4347	52
4348	54
4349	50
4350	48
4351	40
4352	58
4353	47
4354	41
4355	50
4356	47
4357	45
4358	48
4359	49
4360	50
4361	41
4362	51
4363	40
4364	52
4365	46
4366	47
4367	49
4368	37
4369	45
4370	55
4371	50
4372	42
4373	55
4374	48
4375	48
4376	34
4377	44
4378	45
4379	54
4380	40
4381	44
4382	50
4383	36
4384	39
4385	48
4386	42
4387	40
4388	47
4389	38
4390	43
4391	33
4392	49
4393	45
4394	52
4395	49
4396	51
4397	36
4398	45
4399	41
4400	29
4401	39
4402	36
4403	31
4404	41
4405	42
4406	40
4407	44
4408	44
4409	47
4410	40
4411	33
4412	41
4413	37
4414	45
4415	33
4416	39
4417	34
4418	44
4419	52
4420	30
4421	32
4422	47
4423	36
4424	36
4425	35
4426	38
4427	37
4428	36
4429	31
4430	39
4431	47
4432	34
4433	30
4434	36
4435	40
4436	45
4437	33
4438	34
4439	38
4440	43
4441	40
4442	37
4443	47
4444	37
4445	38
4446	33
4447	40
4448	30
4449	24
4450	29
4451	40
4452	35
4453	51
4454	41
4455	40
4456	28
4457	49
4458	31
4459	41
4460	40
4461	32
4462	35
4463	38
4464	35
4465	46
4466	41
4467	38
4468	36
4469	41
4470	23
4471	32
4472	45
4473	47
4474	43
4475	38
4476	41
4477	33
4478	42
4479	46
4480	36
4481	33
4482	40
4483	37
4484	36
4485	39
4486	48
4487	36
4488	45
4489	42
4490	41
4491	37
4492	38
4493	34
4494	39
4495	35
4496	34
4497	43
4498	43
4499	43
4500	39
4501	46
4502	39
4503	29
4504	55
4505	41
4506	46
4507	41
4508	36
4509	29
4510	47
4511	47
4512	50
4513	46
4514	55
4515	40
4516	39
4517	44
4518	36
4519	42
4520	49
4521	41
4522	34
4523	47
4524	37
4525	46
4526	46
4527	41
4528	35
4529	50
4530	40
4531	50
4532	40
4533	30
4534	40
4535	53
4536	44
4537	46
4538	36
4539	41
4540	33
4541	36
4542	47
4543	41
4544	42
4545	38
4546	42
4547	45
4548	49
4549	41
4550	26
4551	37
4552	48
4553	38
4554	47
4555	43
4556	45
4557	50
4558	50
4559	42
4560	43
4561	51
4562	31
4563	41
4564	39
4565	40
4566	49
4567	48
4568	51
4569	41
4570	43
4571	46
4572	41
4573	44
4574	35
4575	32
4576	54
4577	36
4578	51
4579	43
4580	45
4581	57
4582	44
4583	29
4584	32
4585	38
4586	36
4587	36
4588	47
4589	47
4590	40
4591	39
4592	33
4593	37
4594	37
4595	39
4596	35
4597	41
4598	40
4599	44
4600	47
4601	55
4602	40
4603	29
4604	45
4605	29
4606	24
4607	32
4608	35
4609	38
4610	37
4611	32
4612	58
4613	36
4614	51
4615	43
4616	38
4617	39
4618	42
4619	40
4620	32
4621	37
4622	36
4623	44
4624	45
4625	46
4626	38
4627	31
4628	44
4629	33
4630	48
4631	39
4632	49
4633	47
4634	39
4635	29
4636	40
4637	39
4638	54
4639	38
4640	39
4641	55
4642	30
4643	47
4644	24
4645	44
4646	34
4647	49
4648	30
4649	36
4650	52
4651	32
4652	36
4653	40
4654	41
4655	43
4656	52
4657	50
4658	35
4659	38
4660	35
4661	43
4662	38
4663	32
4664	41
4665	33
4666	49
4667	36
4668	45
4669	35
4670	37
4671	42
4672	34
4673	44
4674	29
4675	46
4676	36
4677	36
4678	32
4679	35
4680	47
4681	43
4682	37
4683	43
4684	37
4685	42
4686	37
4687	34
4688	38
4689	31
4690	41
4691	32
4692	37
4693	35
4694	33
4695	34
4696	46
4697	36
4698	32
4699	21
4700	35
4701	38
4702	29
4703	37
4704	42
4705	33
4706	40
4707	27
4708	32
4709	27
4710	37
4711	40
4712	46
4713	36
4714	36
4715	30
4716	41
4717	49
4718	34
4719	41
4720	39
4721	25
4722	26
4723	33
4724	34
4725	42
4726	31
4727	40
4728	40
4729	35
4730	32
4731	36
4732	30
4733	35
4734	31
4735	37
4736	32
4737	28
4738	32
4739	28
4740	29
4741	32
4742	31
4743	33
4744	23
4745	27
4746	37
4747	36
4748	25
4749	30
4750	41
4751	23
4752	25
4753	29
4754	34
4755	29
4756	35
4757	27
4758	31
4759	39
4760	37
4761	29
4762	35
4763	39
4764	25
4765	28
4766	34
4767	27
4768	36
4769	30
4770	29
4771	38
4772	31
4773	29
4774	33
4775	27
4776	33
4777	33
4778	32
4779	39
4780	33
4781	22
4782	41
4783	37
4784	29
4785	26
4786	28
4787	25
4788	43
4789	24
4790	26
4791	22
4792	30
4793	40
4794	18
4795	34
4796	28
4797	32
4798	33
4799	24
4800	28
4801	28
4802	35
4803	31
4804	44
4805	37
4806	28
4807	21
4808	19
4809	37
4810	35
4811	33
4812	29
4813	35
4814	34
4815	34
4816	36
4817	28
4818	35
4819	23
4820	38
4821	34
4822	28
4823	36
4824	26
4825	33
4826	39
4827	29
4828	31
4829	38
4830	27
4831	30
4832	34
4833	27
4834	38
4835	31
4836	27
4837	39
4838	37
4839	37
4840	40
4841	29
4842	26
4843	24
4844	27
4845	32
4846	27
4847	32
4848	30
4849	43
4850	40
4851	40
4852	31
4853	30
4854	26
4855	30
4856	41
4857	42
4858	28
4859	20
4860	32
4861	41
4862	31
4863	25
4864	35
4865	39
4866	27
4867	25
4868	30
4869	44
4870	26
4871	37
4872	35
4873	38
4874	37
4875	38
4876	32
4877	37
4878	25
4879	44
4880	28
4881	42
4882	33
4883	37
4884	29
4885	36
4886	32
4887	31
4888	36
4889	41
4890	36
4891	38
4892	31
4893	28
4894	32
4895	35
4896	35
4897	38
4898	35
4899	37
4900	41
4901	46
4902	39
4903	30
4904	34
4905	43
4906	39
4907	42
4908	29
4909	34
4910	41
4911	34
4912	37
4913	36
4914	30
4915	54
4916	31
4917	51
4918	40
4919	30
4920	36
4921	42
4922	34
4923	44
4924	39
4925	35
4926	32
4927	53
4928	44
4929	50
4930	49
4931	40
4932	42
4933	48
4934	42
4935	51
4936	38
4937	34
4938	44
4939	42
4940	51
4941	39
4942	49
4943	43
4944	47
4945	30
4946	59
4947	48
4948	38
4949	47
4950	53
4951	43
4952	44
4953	33
4954	43
4955	45
4956	48
4957	41
4958	62
4959	47
4960	46
4961	42
4962	45
4963	43
4964	42
4965	61
4966	65
4967	56
4968	34
4969	54
4970	65
4971	50
4972	72
4973	62
4974	64
4975	35
4976	47
4977	41
4978	47
4979	59
4980	58
4981	46
4982	59
4983	52
4984	49
4985	56
4986	51
4987	45
4988	49
4989	51
4990	40
4991	66
4992	56
4993	54
4994	50
4995	64
4996	56
4997	69
4998	47
4999	64
5000	62
5001	56
5002	52
5003	53
5004	49
5005	63
5006	56
5007	54
5008	54
5009	58
5010	65
5011	57
5012	49
5013	57
5014	49
5015	57
5016	53
5017	55
5018	60
5019	48
5020	63
5021	60
5022	59
5023	48
5024	71
5025	57
5026	45
5027	69
5028	62
5029	64
5030	66
5031	62
5032	60
5033	66
5034	71
5035	77
5036	60
5037	60
5038	41
5039	63
5040	61
5041	71
5042	64
5043	54
5044	61
5045	63
5046	72
5047	42
5048	67
5049	60
5050	67
5051	53
5052	67
5053	67
5054	77
5055	64
5056	46
5057	56
5058	73
5059	65
5060	65
5061	64
5062	77
5063	67
5064	55
5065	67
5066	75
5067	56
5068	61
5069	62
5070	61
5071	51
5072	51
5073	58
5074	61
5075	58
5076	60
5077	65
5078	61
5079	61
5080	53
5081	70
5082	63
5083	61
5084	47
5085	61
5086	73
5087	55
5088	54
5089	53
5090	63
5091	62
5092	76
5093	59
5094	65
5095	56
5096	69
5097	65
5098	57
5099	63
5100	54
5101	70
5102	77
5103	57
5104	59
5105	56
5106	56
5107	73
5108	58
5109	78
5110	62
5111	66
5112	57
5113	67
5114	49
5115	62
5116	77
5117	69
5118	82
5119	63
5120	61
5121	57
5122	68
5123	62
5124	62
5125	57
5126	66
5127	46
5128	63
5129	51
5130	60
5131	51
5132	53
5133	60
5134	49
5135	61
5136	59
5137	60
5138	58
5139	60
5140	54
5141	49
5142	50
5143	54
5144	39
5145	64
5146	63
5147	60
5148	45
5149	56
5150	71
5151	66
5152	50
5153	59
5154	50
5155	63
5156	61
5157	56
5158	64
5159	48
5160	54
5161	49
5162	58
5163	52
5164	60
5165	56
5166	56
5167	61
5168	50
5169	49
5170	57
5171	62
5172	48
5173	54
5174	47
5175	58
5176	44
5177	61
5178	46
5179	67
5180	42
5181	61
5182	57
5183	46
5184	52
5185	56
5186	39
5187	48
5188	41
5189	51
5190	53
5191	46
5192	43
5193	48
5194	39
5195	42
5196	44
5197	39
5198	46
5199	47
5200	41
5201	47
5202	51
5203	49
5204	39
5205	52
5206	42
5207	44
5208	41
5209	40
5210	46
5211	36
5212	32
5213	54
5214	43
5215	47
5216	50
5217	50
5218	36
5219	29
5220	44
5221	40
5222	40
5223	30
5224	28
5225	44
5226	28
5227	41
5228	36
5229	40
5230	30
5231	42
5232	42
5233	35
5234	31
5235	38
5236	46
5237	46
5238	31
5239	34
5240	45
5241	43
5242	33
5243	32
5244	39
5245	46
5246	23
5247	32
5248	37
5249	35
5250	45
5251	20
5252	31
5253	33
5254	28
5255	36
5256	29
5257	39
5258	24
5259	24
5260	34
5261	36
5262	35
5263	40
5264	34
5265	34
5266	41
5267	31
5268	27
5269	28
5270	26
5271	28
5272	32
5273	24
5274	24
5275	34
5276	33
5277	19
5278	31
5279	34
5280	28
5281	25
5282	26
5283	26
5284	40
5285	23
5286	30
5287	28
5288	22
5289	21
5290	25
5291	23
5292	27
5293	22
5294	29
5295	30
5296	38
5297	22
5298	31
5299	27
5300	32
5301	21
5302	20
5303	24
5304	34
5305	27
5306	24
5307	30
5308	20
5309	17
5310	19
5311	23
5312	26
5313	24
5314	23
5315	28
5316	27
5317	21
5318	26
5319	33
5320	20
5321	28
5322	18
5323	24
5324	28
5325	33
5326	16
5327	22
5328	22
5329	24
5330	39
5331	13
5332	20
5333	23
5334	28
5335	19
5336	25
5337	19
5338	24
5339	22
5340	18
5341	25
5342	23
5343	21
5344	22
5345	24
5346	15
5347	13
5348	20
5349	21
5350	28
5351	29
5352	18
5353	25
5354	20
5355	27
5356	14
5357	15
5358	19
5359	22
5360	24
5361	26
5362	11
5363	13
5364	26
5365	21
5366	19
5367	23
5368	27
5369	14
5370	21
5371	17
5372	26
5373	20
5374	22
5375	18
5376	21
5377	18
5378	19
5379	13
5380	19
5381	15
5382	19
5383	14
5384	22
5385	21
5386	25
5387	22
5388	26
5389	21
5390	13
5391	23
5392	19
5393	25
5394	22
5395	21
5396	22
5397	20
5398	15
5399	21
5400	16
5401	28
5402	22
5403	16
5404	24
5405	25
5406	32
5407	22
5408	15
5409	19
5410	32
5411	27
5412	25
5413	26
5414	21
5415	20
5416	21
5417	17
5418	26
5419	19
5420	17
5421	22
5422	30
5423	19
5424	29
5425	15
5426	21
5427	27
5428	21
5429	31
5430	27
5431	22
5432	25
5433	27
5434	22
5435	16
5436	21
5437	20
5438	28
5439	33
5440	31
5441	20
5442	26
5443	25
5444	22
5445	15
5446	30
5447	25
5448	22
5449	24
5450	29
5451	18
5452	22
5453	22
5454	30
5455	27
5456	27
5457	25
5458	25
5459	22
5460	23
5461	25
5462	32
5463	25
5464	21
5465	22
5466	27
5467	37
5468	23
5469	25
5470	19
5471	35
5472	30
5473	30
5474	34
5475	23
5476	33
5477	21
5478	34
5479	29
5480	32
5481	29
5482	26
5483	30
5484	32
5485	34
5486	31
5487	33
5488	38
5489	30
5490	31
5491	32
5492	37
5493	30
5494	27
5495	34
5496	38
5497	26
5498	36
5499	40
5500	35
5501	28
5502	35
5503	35
5504	37
5505	29
5506	32
5507	29
5508	30
5509	34
5510	31
5511	46
5512	33
5513	50
5514	40
5515	36
5516	29
5517	29
5518	48
5519	25
5520	40
5521	34
5522	35
5523	38
5524	52
5525	43
5526	30
5527	46
5528	44
5529	40
5530	45
5531	32
5532	33
5533	34
5534	31
5535	48
5536	44
5537	36
5538	51
5539	48
5540	39
5541	47
5542	34
5543	33
5544	43
5545	41
5546	39
5547	47
5548	49
5549	40
5550	63
5551	46
5552	38
5553	45
5554	44
5555	60
5556	49
5557	48
5558	46
5559	49
5560	35
5561	56
5562	55
5563	67
5564	49
5565	51
5566	52
5567	44
5568	45
5569	49
5570	55
5571	57
5572	57
5573	39
5574	46
5575	59
5576	51
5577	58
5578	50
5579	48
5580	52
5581	53
5582	54
5583	53
5584	45
5585	63
5586	59
5587	50
5588	43
5589	50
5590	47
5591	69
5592	44
5593	63
5594	60
5595	69
5596	68
5597	53
5598	41
5599	57
5600	52
5601	58
5602	56
5603	58
5604	72
5605	49
5606	54
5607	66
5608	49
5609	62
5610	66
5611	65
5612	58
5613	65
5614	45
5615	61
5616	56
5617	63
5618	65
5619	56
5620	59
5621	66
5622	69
5623	61
5624	59
5625	66
5626	73
5627	76
5628	58
5629	76
5630	64
5631	56
5632	76
5633	74
5634	52
5635	73
5636	66
5637	69
5638	61
5639	70
5640	71
5641	59
5642	86
5643	63
5644	63
5645	84
5646	55
5647	68
5648	62
5649	60
5650	65
5651	62
5652	57
5653	65
5654	79
5655	61
5656	72
5657	57
5658	67
5659	66
5660	70
5661	87
5662	85
5663	75
5664	68
5665	64
5666	76
5667	69
5668	69
5669	72
5670	73
5671	69
5672	65
5673	76
5674	81
5675	66
5676	60
5677	69
5678	71
5679	76
5680	67
5681	79
5682	57
5683	64
5684	64
5685	68
5686	72
5687	67
5688	79
5689	71
5690	70
5691	70
5692	68
5693	63
5694	82
5695	74
5696	68
5697	67
5698	70
5699	74
5700	80
5701	87
5702	81
5703	77
5704	71
5705	62
5706	90
5707	85
5708	95
5709	89
5710	63
5711	81
5712	77
5713	77
5714	77
5715	85
5716	76
5717	82
5718	83
5719	71
5720	77
5721	101
5722	73
5723	74
5724	62
5725	79
5726	72
5727	73
5728	78
5729	74
5730	72
5731	56
5732	70
5733	78
5734	75
5735	67
5736	74
5737	77
5738	81
5739	85
5740	60
5741	72
5742	75
5743	80
5744	89
5745	62
5746	82
5747	65
5748	79
5749	67
5750	72
5751	72
5752	79
5753	83
5754	75
5755	73
5756	65
5757	62
5758	88
5759	88
