K	N
757	1020
758	922
759	957
760	897
761	850
762	803
763	881
764	839
765	781
766	783
767	765
768	678
769	630
770	721
771	642
772	634
773	590
774	610
775	571
776	589
777	532
778	504
779	503
780	513
781	477
782	512
783	441
784	456
785	469
786	419
787	441
788	402
789	404
790	376
791	390
792	369
793	384
794	386
795	355
796	344
797	338
798	357
799	328
800	326
801	349
802	325
803	292
804	346
805	325
806	303
807	289
808	333
809	281
810	321
811	280
812	320
813	306
814	276
815	300
816	291
817	317
818	315
819	253
820	287
821	276
822	268
823	289
824	316
825	298
826	267
827	276
828	299
829	278
830	336
831	302
832	304
833	272
834	281
835	279
836	282
837	297
838	251
839	293
840	292
841	282
842	295
843	325
844	284
845	313
846	252
847	315
848	289
849	259
850	283
851	290
852	317
853	256
854	309
855	297
856	325
857	289
858	271
859	266
860	305
861	328
862	271
863	306
864	280
865	302
866	312
867	274
868	294
869	306
870	285
871	299
872	282
873	284
874	273
875	276
876	286
877	283
878	286
879	285
880	264
881	322
882	251
883	295
884	284
885	322
886	335
887	317
888	279
889	260
890	285
891	309
892	297
893	307
894	279
895	280
896	278
897	277
898	310
899	283
900	284
901	294
902	298
903	301
904	269
905	293
906	263
907	293
908	256
909	275
910	282
911	272
912	295
913	298
914	263
915	288
916	265
917	278
918	319
919	279
920	298
921	259
922	270
923	300
924	307
925	282
926	329
927	272
928	298
929	285
930	293
931	277
932	283
933	301
934	280
935	275
936	284
937	313
938	255
939	257
940	284
941	286
942	295
943	280
944	315
945	310
946	326
947	262
948	254
949	311
950	288
951	292
952	288
953	258
954	296
955	282
956	280
957	339
958	271
959	290
960	283
961	277
962	271
963	289
964	311
965	266
966	276
967	274
968	305
969	271
970	304
971	301
972	292
973	267
974	286
975	239
976	282
977	289
978	265
979	287
980	257
981	277
982	269
983	275
984	262
985	307
986	277
987	265
988	270
989	274
990	288
991	262
992	270
993	271
994	256
995	264
996	261
997	269
998	270
999	285
1000	273
1001	262
1002	258
1003	274
1004	270
1005	262
1006	283
1007	271
1008	281
1009	270
1010	275
1011	271
1012	267
1013	272
1014	272
1015	278
1016	273
1017	252
1018	267
1019	300
1020	264
1021	260
1022	235
1023	274
1024	278
1025	263
1026	248
1027	275
1028	239
1029	248
1030	289
1031	244
1032	248
1033	272
1034	263
1035	271
1036	251
1037	286
1038	247
1039	258
1040	257
1041	261
1042	265
1043	300
1044	255
1045	259
1046	243
1047	262
1048	288
1049	243
1050	272
1051	228
1052	256
1053	244
1054	279
1055	244
1056	224
1057	246
1058	251
1059	262
1060	266
1061	275
1062	239
1063	239
1064	254
1065	232
1066	251
1067	243
1068	232
1069	270
1070	232
1071	236
1072	267
1073	250
1074	248
1075	257
1076	258
1077	257
1078	240
1079	245
1080	243
1081	276
1082	241
1083	263
1084	229
1085	218
1086	243
1087	251
1088	234
1089	209
1090	224
1091	243
1092	248
1093	238
1094	270
1095	257
1096	246
1097	238
1098	276
1099	260
1100	231
1101	285
1102	230
1103	279
1104	253
1105	236
1106	252
1107	233
1108	239
1109	247
1110	248
1111	236
1112	253
1113	218
1114	254
1115	242
1116	246
1117	248
1118	232
1119	239
1120	239
1121	237
1122	225
1123	265
1124	245
1125	231
1126	255
1127	218
1128	244
1129	224
1130	245
1131	251
1132	225
1133	234
1134	236
1135	241
1136	226
1137	235
1138	224
1139	198
1140	245
1141	233
1142	232
1143	231
1144	232
1145	249
1146	261
1147	224
1148	240
1149	219
1150	233
1151	249
1152	218
1153	247
1154	243
1155	263
1156	223
1157	237
1158	268
1159	233
1160	241
1161	227
1162	263
1163	245
1164	243
1165	266
1166	246
1167	261
1168	242
1169	241
1170	232
1171	260
1172	225
1173	218
1174	239
1175	226
1176	259
1177	239
1178	237
1179	225
1180	258
1181	223
1182	254
1183	234
1184	251
1185	235
1186	251
1187	216
1188	251
1189	221
1190	231
1191	238
1192	234
1193	236
1194	240
1195	240
1196	245
1197	250
1198	236
1199	220
1200	222
1201	235
1202	243
1203	212
1204	232
1205	240
1206	227
1207	240
1208	252
1209	216
1210	199
1211	233
1212	252
1213	221
1214	261
1215	244
1216	243
1217	240
1218	234
1219	209
1220	219
1221	227
1222	249
1223	242
1224	228
1225	212
1226	250
1227	212
1228	238
1229	234
1230	226
1231	230
1232	215
1233	232
1234	244
1235	214
1236	209
1237	235
1238	221
1239	238
1240	250
1241	229
1242	246
1243	238
1244	219
1245	233
1246	253
1247	206
1248	214
1249	246
1250	230
1251	215
1252	268
1253	230
1254	233
1255	236
1256	233
1257	209
1258	244
1259	219
1260	213
1261	232
1262	242
1263	257
1264	229
1265	230
1266	249
1267	202
1268	222
1269	240
1270	235
1271	232
1272	231
1273	215
1274	255
1275	210
1276	234
1277	227
1278	235
1279	250
1280	230
1281	253
1282	243
1283	248
1284	251
1285	237
1286	226
1287	273
1288	238
1289	245
1290	237
1291	250
1292	220
1293	247
1294	226
1295	234
1296	258
1297	263
1298	250
1299	236
1300	237
1301	283
1302	261
1303	263
1304	273
1305	266
1306	268
1307	257
1308	255
1309	252
1310	280
1311	262
1312	290
1313	270
1314	273
1315	251
1316	253
1317	272
1318	320
1319	261
1320	281
1321	285
1322	276
1323	290
1324	293
1325	284
1326	288
1327	292
1328	287
1329	309
1330	286
1331	301
1332	296
1333	345
1334	308
1335	299
1336	339
1337	288
1338	332
1339	323
1340	328
1341	334
1342	334
1343	283
1344	301
1345	310
1346	334
1347	293
1348	322
1349	339
1350	329
1351	349
1352	333
1353	304
1354	329
1355	343
1356	344
1357	351
1358	348
1359	332
1360	365
1361	361
1362	349
1363	328
1364	367
1365	341
1366	340
1367	323
1368	363
1369	390
1370	388
1371	364
1372	369
1373	339
1374	375
1375	380
1376	348
1377	388
1378	391
1379	399
1380	388
1381	371
1382	382
1383	369
1384	353
1385	364
1386	365
1387	365
1388	345
1389	373
1390	370
1391	355
1392	320
1393	406
1394	362
1395	356
1396	364
1397	372
1398	371
1399	372
1400	344
1401	406
1402	382
1403	360
1404	361
1405	335
1406	370
1407	361
1408	347
1409	345
1410	364
1411	365
1412	377
1413	370
1414	361
1415	365
1416	327
1417	342
1418	343
1419	368
1420	343
1421	381
1422	340
1423	372
1424	319
1425	335
1426	341
1427	357
1428	338
1429	326
1430	333
